id,title,text,category,ref,updated,text_url
87,협치내각 카드 한 달 만에 거둬들인 청와대 왜?,청와대가 23일 야권 인사를 포함하는 협치 내각이 현재로선 어렵다는 입장을 밝혔다. 이에 따라 이르면 다음주 이뤄질 개각에서 야권 인사들의 입각은 이뤄지지 않을 가능성이 커졌다. ? 지난...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910852
88,김동연 “소득 양극화 지표 악화하고 있다”,김동연 경제부총리는 23일 오전 국회 기획재정위에서 “소득 양극화 지표가 악화하고 있는 것으로 보인다”고 말했다. 소득 분배가 10년 만에 최악이라는 내용의 통계청 발표가 나오기 직전이...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910855
89,"최악 경제지표에도, 청와대 “소득주도성장 필요성 입증”",문재인 대통령이 23일 청와대 국가위기관리센터 지하벙커에서 열린 태풍 ‘솔릭’ 대처 상황 점검 회의에 참석해 전국 시·도지사와 관계 부처 장관들에게서 보고를 받고 있다. 문 대통령은 이...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910832
90,"[국회이전프로젝트] ""국회 이전이 서울의 가치 더 높일 것""",동영상 재생 추천영상 더보기 “세종시로 국회를 이전하면 서울의 가치가 오히려 더 높아질 것입니다.”(여의도 근무자 김도현 씨?31) “문재인 정부는 책임지고 국회를 세종시로 이전해 효...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910768
91,"강연재 “문재인 정부, 빨갱이 아니길 진심으로 바라”",사진 크게보기 강연재 변호사. [사진 강 변호사 블로그] 강연재 변호사가 문재인 정부에 대해 “빨갱이가 아니기를 진심으로 빈다”고 밝혔다. ? ? 홍준표 전 자유한국당 대표의 법무특보를 지...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910230
92,이총리 “학교·어린이집 쉬는 자녀 둔 공무원 연가 적극 활용하라”,"이낙연 국무총리 [뉴스1] ? 이낙연 국무총리가 23일 태풍 ‘솔릭’ 북상과 관련해 “일부 학교와 유치원, 어린이집이 휴교, 휴원 등을 결정함에 따라 해당 자녀를 둔 정부부처·지자체 공직자·...",0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910199
93,기무사 잔류 인원 3000명 확정… 인적 청산 '속전속결',경기 과천 국군기무사령부 정문에서 군장병이 근무를 서고 있다. [뉴스1] 국군기무사령부를 해편하고 새로 출범하는 군사안보지원사령부가 기존 기무사 잔류 인원 약 3000명의 명단을 확정한 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910026
94,靑 ‘협치 내각’ 제안 한달 만에 “큰 흐름으로 지금 어려워졌다”,청와대가 23일 야권 인사를 포함하는 협치 내각이 현재로선 어렵다는 입장을 밝혔다. 이에 따라 이르면 다음주 이뤄질 개각에서 야권 인사들의 입각은 이뤄지지 않을 가능성이 커졌다. ? 지난...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910008
95,"靑 ""10년 만에 최악 양극화···소득주도성장 필요성 입증""",청와대는 23일 발표된 올해 2분기 소득분배 지표가 10년 만에 최악을 기록하자 “상황을 엄중히 바라보고 있다”며 긴장감을 드러냈다. ? 문재인 대통령이 23일 오전 청와대 국가위기관리센터 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909888
96,검찰 “‘문재인 공산주의자’는 악의적 발언…항소할 것”,허위사실을 주장해 문재인 대통령의 명예를 훼손한 혐의로 기소된 고영주 전 방송문화진흥위원회 이사장이 23일 오전 서울중앙지법에서 열린 1심 선고 공판에서 무죄를 선고받고 법원 청사를 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909750
97,"靑, ‘협치 내각’ 사실상 불발 인정…“어려워졌다고 판단”",김의겸 청와대 대변인. [청와대사진기자단] ? 청와대가 지난달 제안했던 ‘협치 내각’에 대해 “지금은 어려워진 것 아닌가 싶다”며 사실상 무산됐다고 밝혔다. ? 23일 김의겸 청와대 대변인...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909610
98,김상곤 “형사미성년 연령 14→13세 하향 추진”,사진 크게보기 김상곤 사회부총리 겸 교육부 장관이 23일 오전 서울 종로구 정부서울청사에서 열린 태풍 솔릭 대비 교육부 중앙사고수습본부 회의에서 발언하고 있다. [연합뉴스] 김상곤 부총...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909591
99,"文 대통령, 靑 지하벙커서 ""태풍에 총력 대응해달라"" 지시",추천영상 더보기 ?문재인 대통령은 제19호 태풍 ‘솔릭(SOULIK)’이 한반도에 상륙한 23일 “국가적 비상대비태세를 유지해서 총력 대응해 주기 바란다”고 지시했다. 문재인 대통령이 23일 오전 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909328
100,文대통령 “태풍 피해 없게 만전…특별재난지역 선포도 미리 검토”,문재인 대통령이 23일 오전 청와대 국가위기관리센터 상황실에서 열린 태풍 '솔릭' 대처 상황 점검회의에서 전국 시도지사를 비롯한 관계 부처 장관들로부터 대처 상황을 보고 받고 발언하고 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909037
101,"‘돈 없으니 잡아가라’…法, ‘공직선거법 위반’ 홍준표에 2000만원 부과",사진 크게보기 홍준표 전 자유한국당 대표가 지난달 11일 오후 인천국제공항을 통해 미국으로 출국 전 취재진의 질문에 답변하고 있다. [사진공동기자단] 공직선거법 위반에 따른 중앙선거관...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909024
102,소득주도성장 여론조사···유지 56% vs 폐지 33%,"리얼미터가 tbs 의뢰로 지난 22일 전국 성인남녀 500명을 대상으로 설문 조사한 결과, 소득주도성장의 기본방향을 유지해야 한다는 응답은 55.9%로 조사됐다. [연합뉴스] ? 문재인정부의 핵심 정책...",0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22908883
103,"김동연 ""고용쇼크 안타깝고 송구…일자리 예산 역대 최고치 확장""","'2019 예산안 당정협의'가 23일 오전 국회 의원회관에서 열렸다. 김동연 경제부총리가 모두발언을 하고 있다. 임현동 기자 김동연 부총리 겸 기획재정부 장관은 23일 ""일자리 예산을 역대 최고치...",0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907869
104,이르면 내주 개각 … 3~5개 부처 거론,문재인 대통령이 이르면 다음주 개각을 할 것으로 보인다. 청와대 고위 관계자는 22일 “다음주에 개각이 유력하다”며 “대통령이 최종 결심을 하는 단계에 와 있다”고 말했다. ? ? 청와대 “...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907508
105,[국회이전프로젝트] '길 국장'의 비애...스마트폰 업무 불가피,동영상 재생 추천영상 더보기 “일주일에 세 번 정도 KTX 타고 출장갑니다.” 세종청사 공무원의 KTX 출장 경험해보니 ? 세종정부청사에 자리 잡은 교육부의 관계자는 이렇게 말했다. 세종청사 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907427
106,장하성 “경제사령탑은 당연히 김동연 부총리”,장하성 청와대 정책실장이 22일 오후 서울 여의도 국회 예산결산특별위원회 전체회의에 출석해 김동연 부총이와의 경제정책 시각차에 대한 질의를 받자 입을 꽉 다물고 있다. [뉴스1] 장하성 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907403
107,협치내각 카드 한 달 만에 거둬들인 청와대 왜?,청와대가 23일 야권 인사를 포함하는 협치 내각이 현재로선 어렵다는 입장을 밝혔다. 이에 따라 이르면 다음주 이뤄질 개각에서 야권 인사들의 입각은 이뤄지지 않을 가능성이 커졌다. ? 지난...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910852
108,"[국회이전프로젝트] ""국회 이전이 서울의 가치 더 높일 것""",동영상 재생 추천영상 더보기 “세종시로 국회를 이전하면 서울의 가치가 오히려 더 높아질 것입니다.”(여의도 근무자 김도현 씨?31) “문재인 정부는 책임지고 국회를 세종시로 이전해 효...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910768
109,"강연재 “문재인 정부, 빨갱이 아니길 진심으로 바라”",사진 크게보기 강연재 변호사. [사진 강 변호사 블로그] 강연재 변호사가 문재인 정부에 대해 “빨갱이가 아니기를 진심으로 빈다”고 밝혔다. ? ? 홍준표 전 자유한국당 대표의 법무특보를 지...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22910230
110,"靑 ""10년 만에 최악 양극화···소득주도성장 필요성 입증""",청와대는 23일 발표된 올해 2분기 소득분배 지표가 10년 만에 최악을 기록하자 “상황을 엄중히 바라보고 있다”며 긴장감을 드러냈다. ? 문재인 대통령이 23일 오전 청와대 국가위기관리센터 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909888
111,"""달도 차면 기운다···'3연승' 민주당, 차기 지도부 중요""","“2006년 지방선거는 ‘보수 3연승’(2007 대선, 2008 총선)의 시작이었고, 2018년 지방선거는 ‘진보 3연승’(2016 총선, 2017 대선)의 종착지다.” ? 박명호 동국대 교수(정치외교학)는 23일 한국정당...",0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22909851
112,다 쓰지도 못하면서 “내년 일자리 예산 역대 최고치로 확대” 발표한 당정,"'2019 예산안 당정협의'가 23일 오전 국회 의원회관에서 열렸다. 민주당 홍영표 원내대표. 김태년 정책위의장, 김동연 부총리(왼쪽부터)가 회의 전 대화하고 있다. 오른쪽은 홍익표 수석부대표. ...",0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22908715
113,"동원훈련비 2배 인상…당정, 내년 예산 최대한 확장 운영","'2019 예산안 당정협의'가 23일 오전 국회 의원회관에서 열렸다. 민주당 홍영표 원내대표(왼쪽부터), 김태년 정책위의장, 김동연 경제부총리가 포토타임 때 대화하고 있다. 임현동 기자 정부와 ...",0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22908131
114,"김동연 ""고용쇼크 안타깝고 송구…일자리 예산 역대 최고치 확장""","'2019 예산안 당정협의'가 23일 오전 국회 의원회관에서 열렸다. 김동연 경제부총리가 모두발언을 하고 있다. 임현동 기자 김동연 부총리 겸 기획재정부 장관은 23일 ""일자리 예산을 역대 최고치...",0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907869
115,"장하성 “SOC 경기부양, 유혹 느껴도 참고 있다”",김동연 경제부총리(앞) 겸 기획재정부 장관과 장하성 청와대 정책실장이 22일 오후 국회 예산결산특별위원회 전체회의에 출석해 인사하고 있다. [연합뉴스] 장하성 청와대 정책실장이 22일 김...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907496
116,"민주당, 전당대회에도 지지율 하락 … “냄비 속 개구리같다”",홍영표 더불어민주당 원내대표가 22일 국회에서 소상공인·자영업자 지원대책 당정 협의에 참석해 물을 마시고 있다. 홍 원내대표는 ’자영업의 구조적 문제를 차근차근 해결해 나가겠다“고 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907471
117,[국회이전프로젝트] '길 국장'의 비애...스마트폰 업무 불가피,동영상 재생 추천영상 더보기 “일주일에 세 번 정도 KTX 타고 출장갑니다.” 세종청사 공무원의 KTX 출장 경험해보니 ? 세종정부청사에 자리 잡은 교육부의 관계자는 이렇게 말했다. 세종청사 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907427
118,"'김&장' 엇박자 논란에 장하성 ""다양한 시각 토론한 것""",장하성 청와대 정책실장(뒤)과 김동연 경제부총리 겸 기획재정부 장관이 22일 국회에서 열린 예산결산특별위원회 전체회의에서 인사하고 있다. [연합뉴스] 장하성 청와대 정책실장이 22일 김동...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22907053
119,"김성태 “드루킹 특검, 권력 압력 극복 못해 안타까워”",사진 크게보기 허익범 특별검사. [중앙포토] 김성태 자유한국당 원내대표가 22일 드루킹 특검의 기간 연장포기에 대해 “권력의 부당한 압력 속에 한계를 극복하지 못한 허익범 특검에 대해 안...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22906371
120,"국회 간 김영주, 고용 악화보다 더 진땀 뺀 '해프닝'",김영주 고용노동부 장관이 22일 국회에서 열린 환경노동위원회 전체회의에서 업무보고를 위해 발언대로 나가기 전 발표자료를 못 찾는 해프닝을 연출했다. 김 장관은 보좌관들까지 합류하여 ...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22906295
121,‘특검 연장 포기’ 민주?정의 “당연한 결과” 한국?바른미래 “권력에 굴복”,드루킹의 인터넷상 불법 댓글 조작 사건과 관련된 진상규명을 위한 특별검사팀의 박상융 특검보가 20일 오후 서울 서초구 허익범 특검 사무실에서 브리핑을 하고 있다. [뉴스1] ? 드루킹 사건을...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22906284
122,금지된 정유 北 보낸 정부…국내 의결절차도 생략했다,정부가 개성 남북연락사무소 개소를 위해 석유·경유 약 80t을 북한으로 반출하는 과정에서 남북교류협력추진협의회(교추협)의 사전 의결도 없었던 것으로 드러났다. ? 일본 방위성이 지난달 4...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22906164
123,국방부 “병사 영창 제도 폐지…군기교육으로 대체”,"사진 크게보기 일과 후 병사 평일 외출 시범운용 첫날인 20일 오후 강원 화천 시내에서 외출을 나온 한 병사가 PC방으로 들어가고 있다. 국방부는 10월 31일까지 육·해·공군, 해병대 등 13개 부대...",0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22905669
124,특검 연장 공방…한국당 “수사 더해야” vs 민주당 “명분 없어”,22일 오전 서울 여의도 국회에서 열린 법제사법위원회 전체회의에서 여상규 위원장이 회의를 진행하고 있다. 여야 의원들은 드루킹 특검 연장 여부를 놓고 의사진행 발언을 주고 받았다. [뉴스...,0,중앙일보,2018.08.24 00:03,https://news.joins.com/article/22905423
